short_name	full_name
abaumannii	Acinetobacter_baumannii
abaumannii_2	Acinetobacter_baumannii
achromobacter	Achromobacter
aeromonas	Aeromonas
afumigatus	Aspergillus_afumigatus
aphagocytophilum	Anaplasma_aphagocytophilum
arcobacter	Arcobacter
bburgdorferi	Borrelia_burgdorferi
bcc	Burkholderia_cepacia
bcereus	Bacillus_cereus
bhampsonii	Brachyspira_hampsonii
bhenselae	Bartonella_henselae
bhyodysenteriae	Brachyspira_hyodysenteriae
bifidobacterium	Bifidobacterium_bifidobacterium
bintermedia	Brachyspira_intermedia
blicheniformis	Bacillus_licheniformis
bordetella	Bordetella_pertussis
borrelia	Borrelia
bpilosicoli	Brachyspira_pilosicoli
bpseudomallei	Burkholderia_pseudomallei
brachyspira	Brachyspira
bsubtilis	Bacillus_subtilis
calbicans	Candida_albicans
campylobacter	Campylobacter_coli
campylobacter	Campylobacter_jejuni
cbotulinum	Clostridium_botulinum
cconcisus	Campylobacter_concisus
cdifficile	Clostridium_difficile
cdifficile	Peptoclostridium_difficile
cdifficile_2	Clostridium_difficile
cdiphtheriae	Corynebacterium_diphtheriae
cfetus	Campylobacter_fetus
cfreundii	Citrobacter_freundii
cglabrata	Candida_glabrata
chelveticus	Campylobacter_helveticus
chlamydiales	Chlamydia
chyointestinalis	Campylobacter_hyointestinalis
cinsulaenigrae	Campylobacter_insulaenigrae
ckrusei	Candida_krusei
clanienae	Campylobacter_lanienae
clari	Campylobacter_lari
cmaltaromaticum	Carnobacterium_maltaromaticum
cneoformans	Cryptococcus_neoformans
cronobacter	Cronobacter
csepticum	Clostridium_septicum
csinensis	Clonorchis_sinensis
csputorum	Campylobacter_sputorum
ctropicalis	Candida_tropicalis
cupsaliensis	Campylobacter_upsaliensis
ecloacae	Enterobacter_cloacae
ecoli_achtman_4	Escherichia_coli
ecoli_2	Escherichia_coli
edwardsiella	Edwardsiella_tarda
efaecalis	Enterococcus_faecalis
efaecium	Enterococcus_faecium
fpsychrophilum	Flavobacterium_psychrophilum
haemophilus	Haemophilus
hcinaedi	Helicobacter_cinaedi
hinfluenzae	Haemophilus_influenzae
hparasuis	Haemophilus_parasuis
hpylori	Helicobacter_pylori
hsuis	Haematopinus_suis
kkingae	Kingella_kingae
koxytoca	Klebsiella_oxytoca_SC
klebsiella	Klebsiella_pneumoniae_SC
kaerogenes	Klebsiella_aerogenes
kseptempunctata	Kudoa_septempunctata
lcasei	Lactobacillus_casei
legionella	Legionella
leptospira	Leptospira
leptospira_2	Leptospira
leptospira_3	Leptospira
lmonocytogenes	Listeria_monocytogenes
lsalivarius	Lactobacillus_salivarius
mabscessus	Mycobacterium_abscessus
magalactiae	Mycoplasma_agalactiae
mbovis	Mycoplasma_bovis
mcatarrhalis	Moraxells_catarrhalis
mhaemolytica	Mannheimia_haemolytica
mhyorhinis	Mycoplasma_hyorhinis
mmassiliense	Mycobacterium_massiliense
mplutonius	Melissococcus_plutonius
neisseria	Neisseria
orhinotracheale	Ornithobacterium_rhinotracheale
otsutsugamushi	Orientia_tsutsugamushi
pacnes	Propionibacterium_acnes
paeruginosa	Pseudomonas_aeruginosa
pagglomerans	Pantoea_agglomerans
pfluorescens	Pseudomonas_fluorescens
pfreudenreichii	Propionibacterium_freudenreichii
pgingivalis	Porphyromonas_gingivalis
plarvae	Paenibacillus_larvae
pmultocida_multihost	Pasteurella_multocida
pmultocida_rirdc	Pasteurella_multocida
ppentosaceus	Pediococcus_pentosaceus
pshigelloides	Plesiomonas_shigelloides
ranatipestifer	Riemerella_anatipestifer
sagalactiae	Streptococcus_agalactiae
saureus	Staphylococcus_aureus
scanis	Streptococcus_canis
sdysgalactiae	Streptococcus_dysgalactiae
senterica	Salmonella_enterica
sepidermidis	Staphylococcus_epidermidis
sgallolyticus	Streptococcus_gallolyticus
shaemolyticus	Staphylococcus_haemolyticus
shominis	Stapylococcus_hominis
sinorhizobium	Sinorhizobium
staphlugdunensis	Staphylococcus_lugdunensis
smaltophilia	Stenotrophomonas_maltophilia
soralis	Streptococcus_oralis
spneumoniae	Streptococcus_pneumoniae
spseudintermedius	Staphylococcus_pseudintermedius
spyogenes	Streptococcus_pyogenes
ssuis	Streptococcus_suis
sthermophilus	Streptococcus_thermophilus
sthermophilus_2	Streptococcus_thermophilus
streptomyces	Streptomyces
suberis	Streptococcus_uberis
szooepidemicus	Streptococcus_equi
taylorella	Taylorella
tenacibaculum	Tenacibaculum
tvaginalis	Trichomonas_vaginalis
vcholerae	Vibrio_cholerae
vibrio	Vibrio
vparahaemolyticus	Vibrio_parahaemolyticus
vtapetis	Vibrio_tapetis
vvulnificus	Vibrio_vulnificus
wolbachia	Wolbachia
xfastidiosa	Xylella_fastidiosa
yersinia	Yersinia
ypseudotuberculosis	Yersinia_pseudotuberculosis
yruckeri	Yersinia_ruckeri
